ano,cod_regiao,nome_regiao,cod_uf,nome_uf,cod_meso,nome_meso,cod_micro,nome_micro,cod_mun,cod_mundv,nome_mun
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,251660,2516607,Tavares
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,251670,2516706,Teixeira
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,251675,2516755,Tenório
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251680,2516805,Triunfo
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251690,2516904,Uiraúna
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25019,Umbuzeiro,251700,2517001,Umbuzeiro
2015,2,Nordeste,25,Paraíba,2502,Borborema,25008,Seridó Ocidental Paraibano,251710,2517100,Várzea
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,251720,2517209,Vieirópolis
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250550,2505501,Vista Serrana
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,251740,2517407,Zabelê
